Week,Mean_cases_per_100k,Median_cases_per_100k,Mode_cases_per_100k,Mean_deaths_per_100k,Median_deaths_per_100k,Mode_deaths_per_100k
2020-06-01/2020-06-07,8.5633193384183,8.232114722750776,7.05609833378638,0.3984055521797752,0.30240421430513054,0.1680023412806281
2020-06-08/2020-06-14,10.75694990885393,11.860965294412344,0.0,0.3552049501361851,0.3360046825612562,0.0
2020-06-15/2020-06-21,5.20807257969947,0.0,0.0,0.22560314400541487,0.0,0.0
2020-06-22/2020-06-28,25.421154269205893,18.513858009125215,12.364972318254226,0.4848067562669553,0.43680608732963305,0.43680608732963305
2020-06-29/2020-07-05,24.038735003811013,22.881918882421548,7.728107698908893,0.35040488324245284,0.3360046825612562,0.1344018730245025
2020-07-06/2020-07-12,25.81955982138567,26.577970390595365,11.928166230924594,0.6432089637601189,0.5040070238418842,0.5040070238418842
2020-07-13/2020-07-19,30.533225511030718,29.434010192366042,13.03698168337674,0.518407224523081,0.5712079603541355,0.5712079603541355
2020-07-20/2020-07-26,46.38784646102828,48.18307147928413,32.995659827515354,0.6624092313350479,0.5040070238418842,0.10080140476837686
2020-07-27/2020-08-02,39.07254451498036,39.11094505013022,20.597087041005004,0.7872109705720859,0.8064112381470149,0.0
2020-08-03/2020-08-09,32.27084972656179,35.11248932765127,17.64024583446595,1.11841558623961,1.2432173254766479,0.2352032777928793
2020-08-10/2020-08-16,23.85633246184919,21.739502961713274,12.80177840558386,0.9360130442777851,1.07521498419602,1.07521498419602
2020-08-17/2020-08-23,27.585984438279134,27.720386311303635,9.27372923869067,0.748810435422228,0.8064112381470149,1.142415920708271
2020-08-24/2020-08-30,22.973120153402455,21.605101088688773,17.069037874111814,0.9600133787464463,0.7728107698908891,0.268803746049005
2020-08-31/2020-09-06,20.237082023975088,21.269096406127513,9.27372923869067,0.6864095658037092,0.6720093651225124,0.6720093651225124
2020-09-07/2020-09-13,14.30899941021578,14.212998072341136,8.1313133179824,0.518407224523081,0.5040070238418842,0.5040070238418842
2020-09-14/2020-09-20,16.781033860487877,16.968236469343438,5.14087164318722,0.561607826566671,0.53760749209801,0.03360046825612562
2020-09-21/2020-09-27,16.776233793594148,18.54745847738134,6.148885690870988,0.5328074252042777,0.5712079603541355,0.268803746049005
2020-09-28/2020-10-04,17.433842958035463,19.85787673937024,6.417689436919993,0.45120628801082974,0.40320561907350744,0.03360046825612562
2020-10-05/2020-10-11,21.326697208852302,19.421070652040605,7.224100675067008,0.4176058197547041,0.43680608732963305,0.0
2020-10-12/2020-10-18,27.15397841784323,25.23395166035034,9.979339072069308,0.34080474945498845,0.3360046825612562,0.0
2020-10-19/2020-10-25,24.835546108170565,26.71237226361987,0.0,0.4416061542233653,0.268803746049005,0.268803746049005
2020-10-26/2020-11-01,24.48514122492811,27.619584906535255,11.424159207082711,0.40800568596723963,0.4704065555857586,0.0
2020-11-02/2020-11-08,30.437224173156075,27.014776477924997,17.33784162016082,0.45120628801082974,0.43680608732963305,0.43680608732963305
2020-11-09/2020-11-15,34.09967521307377,42.70619515353566,0.0,0.4848067562669553,0.1680023412806281,0.0
2020-11-16/2020-11-22,42.55259301293622,46.87265321729523,19.75707533460186,0.6384088968663867,0.6384088968663867,0.6384088968663867
2020-11-23/2020-11-29,41.338176088821974,36.69171133568917,22.68031607288479,0.6240086961851901,0.53760749209801,0.0
2020-11-30/2020-12-06,63.10167938500391,65.25210935339595,38.33813428023933,0.7440103685284959,0.9408131111715172,0.03360046825612562
2020-12-07/2020-12-13,69.06816253391307,76.70986902873479,42.43739140748666,1.142415920708271,1.3776191985011503,1.8816262223430344
2020-12-14/2020-12-20,72.06340427560198,74.66024046511112,57.120796035413555,1.0080140476837685,1.142415920708271,0.1680023412806281
2020-12-21/2020-12-27,57.86480640394205,51.30791502710382,28.392395676426144,0.9456131780652495,0.8064112381470149,0.06720093651225124
2020-12-28/2021-01-03,75.23144842546526,65.28570982165208,57.15439650366967,1.2768177937327736,0.974413579427643,-1.6800234128062808
2021-01-04/2021-01-10,81.7019385982163,59.37202740857396,0.0,0.5952082948227966,0.40320561907350744,-3.52804916689319
2021-01-11/2021-01-17,64.28729590775576,65.25210935339595,41.22777455026613,2.5200351192094215,1.848025754086909,1.0416145159398942
2021-01-18/2021-01-24,56.37198559999132,57.1879969719258,40.08535862955786,1.2000167234330577,1.310418261988899,0.10080140476837686
2021-01-25/2021-01-31,51.754321248220926,51.34151549535994,27.249979755717877,1.3152183288826313,1.2432173254766479,1.2432173254766479
2021-02-01/2021-02-07,32.0500466494501,30.240421430513052,40.656566589911996,1.0752149841960197,0.8736121746592661,0.10080140476837686
2021-02-08/2021-02-14,27.643585241003915,26.376367581058606,21.336297342639767,0.9360130442777851,0.8400117064031404,0.03360046825612562
2021-02-15/2021-02-21,15.398614595092997,13.540988707218624,4.502462746320832,0.4320060204359008,0.2352032777928793,0.0
2021-02-22/2021-02-28,19.867476873157702,22.512313731604163,7.694507230652766,0.6144085623977256,0.8064112381470149,0.0
2021-03-01/2021-03-07,13.430587168662782,12.80177840558386,7.05609833378638,0.6096084955039933,0.6384088968663867,0.6384088968663867
2021-03-08/2021-03-14,15.350613926155674,14.683404627926894,2.3520327779287933,0.4464062211170975,0.43680608732963305,0.6384088968663867
2021-03-15/2021-03-21,9.883337734194665,11.760163889643966,3.4272477621248125,0.268803746049005,0.2352032777928793,0.06720093651225124
2021-03-22/2021-03-28,8.53931900394964,8.937724556129414,3.1920444843319338,0.2160030102179504,0.1344018730245025,0.0
2021-03-29/2021-04-04,7.060898400680111,9.105726897410042,2.620836523977798,0.2592036122615405,0.1344018730245025,0.0
2021-04-05/2021-04-11,6.528090975475834,7.996911444957897,0.0,0.187202608855557,0.06720093651225124,0.0
2021-04-12/2021-04-18,8.337716194412886,9.240128770434545,2.3520327779287933,0.27360381294273717,0.20160280953675372,0.0
2021-04-19/2021-04-25,5.582477797410585,7.123299270298631,0.0,0.10560147166210909,0.06720093651225124,0.0
2021-04-26/2021-05-02,7.444903752178691,5.779280540053606,0.0,0.11520160544957356,0.10080140476837686,0.0
2021-05-03/2021-05-09,6.076884687465005,6.988897397274129,0.0,0.1392019399182347,0.06720093651225124,0.0
2021-05-10/2021-05-16,7.411303283922565,6.888095992505751,0.0,0.12480173923703801,0.1344018730245025,0.0
2021-05-17/2021-05-23,7.497704488009745,8.635320341824285,0.0,0.12000167234330576,0.03360046825612562,0.0
2021-05-24/2021-05-30,5.448075924386082,5.174472111443345,0.0,0.14880207370569917,0.1344018730245025,0.0
2021-05-31/2021-06-06,3.753652310898605,3.3936472938686872,0.0,0.07200100340598348,0.03360046825612562,0.0
2021-06-07/2021-06-13,4.444861943596046,3.595250103405441,0.0,0.1344018730245025,0.1344018730245025,0.0
2021-06-14/2021-06-20,3.998455722478948,2.7888388652584264,0.0,0.08640120408718015,0.03360046825612562,0.0
2021-06-21/2021-06-27,4.2672594685279535,3.964855254222823,0.0,0.11520160544957356,0.03360046825612562,0.0
2021-06-28/2021-07-04,6.47529023964478,8.1313133179824,0.0,0.11520160544957354,0.10080140476837686,0.0
2021-07-05/2021-07-11,8.980925158173005,12.73457746907161,0.0,0.09600133787464461,0.03360046825612562,0.0
2021-07-12/2021-07-18,13.185783757082438,17.94265004877108,0.0,0.12480173923703801,0.1344018730245025,0.0
2021-07-19/2021-07-25,30.605226514436705,32.29004999413672,0.0,0.17760247506809254,0.268803746049005,0.0
2021-07-26/2021-08-01,49.56069067778528,55.20556934481439,0.0,0.19680274264302147,0.20160280953675372,0.0
2021-08-02/2021-08-08,70.2921795918148,70.35938052832704,0.0,0.374405217711114,0.268803746049005,0.0
2021-08-09/2021-08-15,110.39193842205385,117.19843327736615,0.0,0.6720093651225124,0.8400117064031404,0.0
2021-08-16/2021-08-22,120.49127916646647,137.25791282627316,0.0,1.1040153855584132,1.2096168572205221,0.0
2021-08-23/2021-08-29,102.67823092382615,113.73758504698523,0.0,1.3824192653948824,1.142415920708271,0.0
2021-08-30/2021-09-05,92.2716858982147,98.75177620475318,0.0,1.2528174592641126,1.1088154524521454,0.0
2021-09-06/2021-09-12,64.55609965380478,63.57208594058967,0.0,1.7520244162122645,1.2432173254766479,0.0
2021-09-13/2021-09-19,62.88567637478595,77.98668682246756,0.0,1.4832206701632595,1.6464229445501553,0.0
2021-09-20/2021-09-26,45.547834754625136,52.31592907478759,0.0,1.0128141145775007,1.0080140476837685,0.0
2021-09-27/2021-10-03,30.30762236702531,36.89331414522593,0.0,1.060814783514823,1.5456215397817783,0.0
2021-10-04/2021-10-10,24.264338147816428,28.022790525608766,0.0,0.7920110374658181,0.6384088968663867,0.0
2021-10-11/2021-10-17,16.891435399043722,17.741047239234327,0.0,0.5088070907356165,0.3360046825612562,0.0
2021-10-18/2021-10-24,15.873821217572488,14.179397604085011,0.0,0.35040488324245284,0.36960515081738177,0.0
2021-10-25/2021-10-31,15.461015464711517,11.524960611851087,0.0,0.40800568596723963,0.1680023412806281,0.0
2021-11-01/2021-11-07,10.742549708172731,13.272184961169618,0.0,0.35040488324245284,0.20160280953675372,0.0
2021-11-08/2021-11-14,9.182527967709758,10.04654000858156,0.0,0.187202608855557,0.1344018730245025,0.0
2021-11-15/2021-11-21,10.939352450815756,12.768177937327735,0.0,0.20160280953675372,0.1680023412806281,0.0
2021-11-22/2021-11-28,9.043326027791524,0.0,0.0,0.15840220749316364,0.0,0.0
2021-11-29/2021-12-05,13.785792118798968,15.72501914386679,0.0,0.1680023412806281,0.06720093651225124,0.0
2021-12-06/2021-12-12,17.333041553267087,21.907505302993904,0.0,0.1392019399182347,0.1680023412806281,0.0
2021-12-13/2021-12-19,16.03222342506565,19.32026924727223,0.0,0.13440187302450246,0.1344018730245025,0.0
2021-12-20/2021-12-26,14.625803825202107,0.0,0.0,0.187202608855557,0.0,0.0
2021-12-27/2022-01-02,87.52921980720723,90.65406335502692,0.0,0.27360381294273717,0.1680023412806281,0.0
2022-01-03/2022-01-09,205.4908637206768,221.49428674438005,0.0,0.36960515081738177,0.268803746049005,0.0
2022-01-10/2022-01-16,230.79201631753944,0.0,0.0,0.4656064886920264,0.0,0.0
2022-01-17/2022-01-23,224.4223275495567,252.30591613524723,0.0,0.4656064886920264,0.4704065555857586,0.0
2022-01-24/2022-01-30,174.16562717218025,185.91139086114305,0.0,0.5280073583105455,0.6384088968663867,0.0
2022-01-31/2022-02-06,164.14308749806736,199.58678144138617,0.0,2.0112280284738047,1.6128224762940297,0.0
2022-02-07/2022-02-13,119.30566264371461,69.3849669488994,0.0,1.478420603269527,1.6800234128062808,0.0
2022-02-14/2022-02-20,42.29338940067469,35.683697288005405,0.0,1.3344185964575603,1.5120210715256528,0.0
2022-02-21/2022-02-27,16.934636001087313,18.17785332656396,0.0,0.8256115057219438,0.7392103016347635,0.0
2022-02-28/2022-03-06,10.32974395531176,7.66090676239664,0.0,0.686409565803709,0.5040070238418842,0.0
2022-03-07/2022-03-13,3.6384507054490314,0.0,0.0,0.26400367915527273,0.0,0.0
2022-03-14/2022-03-20,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-21/2022-03-27,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-28/2022-04-03,10.843351112941109,0.0,0.0,0.8496118401906049,0.0,0.0
2022-04-04/2022-04-10,4.507262813214565,0.0,0.0,0.09120127098091238,0.0,0.0
2022-04-11/2022-04-17,4.123257461715986,0.0,0.0,0.05760080272478678,0.0,0.0
2022-04-18/2022-04-24,2.2704316407353455,0.0,0.0,0.04800066893732231,0.0,0.0
2022-04-25/2022-05-01,3.1920444843319338,0.0,0.0,0.05760080272478678,0.0,0.0
2022-05-02/2022-05-08,3.6528509061302272,0.0,0.0,0.04800066893732231,0.0,0.0
2022-05-09/2022-05-15,8.09291278283254,0.0,0.0,0.038400535149857855,0.0,0.0
2022-05-16/2022-05-22,13.795392252586433,0.0,0.0,0.02880040136239339,0.0,0.0
2022-05-23/2022-05-29,12.278571114167047,0.0,0.0,0.024000334468661157,0.0,0.0
2022-05-30/2022-06-05,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-06/2022-06-12,32.606854409123045,0.0,0.0,0.02880040136239339,0.0,0.0
2022-06-13/2022-06-19,22.74751700939704,0.0,0.0,0.04800066893732231,0.0,0.0
2022-06-20/2022-06-26,36.23570498078461,0.0,0.0,0.06720093651225123,0.0,0.0
2022-06-27/2022-07-03,33.33646457697035,0.0,0.0,0.08160113719344793,0.0,0.0
2022-07-04/2022-07-10,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-11/2022-07-17,85.53719204630836,0.0,0.0,0.16320227438689586,0.0,0.0
2022-07-18/2022-07-24,50.23750010980153,0.0,0.0,0.12960180613077024,0.0,0.0
2022-07-25/2022-07-31,48.54787656320779,0.0,0.0,0.14880207370569917,0.0,0.0
2022-08-01/2022-08-07,39.9269564220647,0.0,0.0,0.23520327779287933,0.0,0.0
2022-08-08/2022-08-14,39.734953746315405,0.0,0.0,0.2016028095367537,0.0,0.0
2022-08-15/2022-08-21,41.808582644407736,0.0,0.0,0.16320227438689586,0.0,0.0
2022-08-22/2022-08-28,48.6390778341887,0.0,0.0,0.17760247506809254,0.0,0.0
2022-08-29/2022-09-04,39.09174478255529,0.0,0.0,0.13440187302450246,0.0,0.0
2022-09-05/2022-09-11,27.960389655990245,0.0,0.0,0.12960180613077024,0.0,0.0
2022-09-12/2022-09-18,17.371442088416945,0.0,0.0,0.15360214059943142,0.0,0.0
2022-09-19/2022-09-25,14.894607571251113,0.0,0.0,0.12480173923703801,0.0,0.0
2022-09-26/2022-10-02,0.0,0.0,0.0,0.0,0.0,0.0
2022-10-03/2022-10-09,16.718632990869363,0.0,0.0,0.23520327779287933,0.0,0.0
2022-10-10/2022-10-16,6.523290908582102,0.0,0.0,0.08160113719344793,0.0,0.0
2022-10-17/2022-10-23,6.091284888146201,0.0,0.0,0.09600133787464463,0.0,0.0
2022-10-24/2022-10-30,6.51849084168837,0.0,0.0,0.014400200681196695,0.0,0.0
2022-10-31/2022-11-06,6.412889370026261,0.0,0.0,0.11520160544957356,0.0,0.0
