Week,Mean_cases_per_100k,Median_cases_per_100k,Mode_cases_per_100k,Mean_deaths_per_100k,Median_deaths_per_100k,Mode_deaths_per_100k
2020-06-01/2020-06-07,8.50944790579353,6.676748556987719,5.10294353998347,0.27252034926480484,0.23845530560670422,0.1907642444853634
2020-06-08/2020-06-14,5.341398845590175,5.579854151196879,2.146097750460338,0.26570734053318473,0.23845530560670422,0.1907642444853634
2020-06-15/2020-06-21,5.750179369487382,5.913691579046264,4.196813378677994,0.2316422968750841,0.23845530560670422,0.23845530560670422
2020-06-22/2020-06-28,8.46856985340381,9.061301613054761,6.056764762410287,0.15669920082726277,0.1907642444853634,0.1907642444853634
2020-06-29/2020-07-05,9.858423634654315,9.204374796418783,6.152146884652969,0.14307318336402255,0.14307318336402253,0.14307318336402253
2020-07-06/2020-07-12,12.072651472430854,11.970456341456552,10.492033446694986,0.21801627941184387,0.1907642444853634,0.0953821222426817
2020-07-13/2020-07-19,13.244488974269515,13.353497113975438,10.73048875230169,0.17713822702212312,0.14307318336402253,0.14307318336402253
2020-07-20/2020-07-26,14.09611506572203,14.402700458644935,11.636618913607165,0.2929593754596652,0.28614636672804505,0.23845530560670422
2020-07-27/2020-08-02,13.45569224494974,11.970456341456552,9.347447979782805,0.27252034926480484,0.23845530560670422,0.14307318336402253
2020-08-03/2020-08-09,8.850098342374537,9.204374796418783,-1.478422894761566,0.21120327068022376,0.1907642444853634,0.28614636672804505
2020-08-10/2020-08-16,7.405740491271071,8.155171451749284,5.007561417740789,0.1975772532169835,0.14307318336402253,0.0953821222426817
2020-08-17/2020-08-23,6.7653176704987805,5.05525247886213,3.4337564007365406,0.21120327068022374,0.23845530560670422,0.23845530560670422
2020-08-24/2020-08-30,6.049951753678667,5.866000517924924,3.147610034008496,0.170325218290503,0.14307318336402253,0.0953821222426817
2020-08-31/2020-09-06,5.573041142465258,5.198325662226152,2.766081545037769,0.22482928814346398,0.14307318336402253,0.14307318336402253
2020-09-07/2020-09-13,4.476146736674419,4.578341867648721,1.812260322610952,0.13626017463240242,0.14307318336402253,0.0953821222426817
2020-09-14/2020-09-20,5.579854151196878,5.6275452123182195,7.392114473807831,0.17713822702212315,0.1907642444853634,0.0953821222426817
2020-09-21/2020-09-27,8.618456045499453,9.395139040904146,4.912179295498107,0.14307318336402255,0.14307318336402253,0.0953821222426817
2020-09-28/2020-10-04,11.146082284930516,10.825870874544371,6.81982174035174,0.14988619209564266,0.14307318336402253,0.0953821222426817
2020-10-05/2020-10-11,17.066586872708402,18.313367470594883,7.392114473807831,0.12944716590078229,0.14307318336402253,0.0953821222426817
2020-10-12/2020-10-18,25.930311232546178,27.3269780225283,16.739562453590636,0.15669920082726277,0.14307318336402253,0.04769106112134085
2020-10-19/2020-10-25,34.56920630424049,37.72362934698061,24.513205416369193,0.22482928814346398,0.23845530560670422,0.3338374278493859
2020-10-26/2020-11-01,36.585856888800045,34.48063719072943,27.70850651149903,0.4019675151655871,0.4292195500920676,0.5246016723347493
2020-11-02/2020-11-08,52.11270378816231,54.177045433843205,40.966621503231785,0.6267968033090511,0.6676748556987718,0.6676748556987718
2020-11-09/2020-11-15,63.49724137869953,59.99535489064678,49.12179295498107,0.6608618469671518,0.6676748556987718,0.6676748556987718
2020-11-16/2020-11-22,120.55618950601804,117.1292461140131,59.756899585040074,1.1445854669121804,1.1922765280335212,0.5722927334560901
2020-11-23/2020-11-29,92.08462601657754,98.00513060435544,68.24590846463875,1.069642370864359,1.0968944057908394,1.0968944057908394
2020-11-30/2020-12-06,86.36169868201667,90.56532506942627,58.75538730149192,1.4239188249086052,1.526113955882907,0.5246016723347493
2020-12-07/2020-12-13,79.79395826473485,85.51007259056412,0.0,1.4171058161769852,1.1445854669121802,0.0
2020-12-14/2020-12-20,69.43818499267226,69.39049393155092,50.64790691086397,1.4579838685667057,1.3353497113975437,0.7630569779414536
2020-12-21/2020-12-27,54.34055764340208,55.65546832860476,28.80540091728987,1.192276528033521,1.3830407725188845,0.4292195500920676
2020-12-28/2021-01-03,57.39959856389952,59.04153366821996,32.95452323484652,1.3966667899821246,1.526113955882907,1.573805017004248
2021-01-04/2021-01-10,66.52221725553885,70.82122576519116,43.971158353876255,1.348975728860784,1.0968944057908394,0.8107480390627942
2021-01-11/2021-01-17,50.9613053125185,51.88787450001883,35.48214947427759,1.2399675891548618,1.3830407725188845,0.6199837945774309
2021-01-18/2021-01-24,37.93483261766083,40.48971089201838,29.80691320083803,1.4579838685667057,1.573805017004248,0.8584391001841352
2021-01-25/2021-01-31,33.10440942694216,32.04839307354105,23.416311010578355,0.9401952049635767,0.8584391001841352,0.5722927334560901
2021-02-01/2021-02-07,23.797839499549077,23.17785570497165,16.358033964619906,0.790309012867934,0.7153659168201126,0.3815284889707268
2021-02-08/2021-02-14,20.534408317103043,19.69640824311377,13.448879236218117,0.8856911351106156,0.8584391001841352,0.6199837945774309
2021-02-15/2021-02-21,15.124879384196669,14.879611069858344,9.061301613054761,0.6472358295039113,0.5722927334560901,0.5722927334560901
2021-02-22/2021-02-28,15.996944501844041,14.259627275280913,7.725951901657217,0.6267968033090511,0.6676748556987718,0.6676748556987718
2021-03-01/2021-03-07,12.147594568478675,12.351984830427279,7.8690250850212395,0.6336098120406712,0.6199837945774309,0.6199837945774309
2021-03-08/2021-03-14,9.470082136951968,9.58590328538951,5.770618395682242,0.2997723841912853,0.23845530560670422,0.04769106112134085
2021-03-15/2021-03-21,9.68128540763219,8.822846307448057,8.155171451749284,0.24526831433832433,0.23845530560670422,0.23845530560670422
2021-03-22/2021-03-28,8.979545508275319,8.059789329506602,7.678260840535876,0.24526831433832433,0.28614636672804505,0.3338374278493859
2021-03-29/2021-04-04,7.528374648440233,8.679773124084033,0.0,0.16351220955888288,0.23845530560670422,0.0
2021-04-05/2021-04-11,8.257366582723586,8.44131781847733,0.0,0.18395123575374325,0.14307318336402253,0.0
2021-04-12/2021-04-18,10.21951309743018,10.20588707996694,0.0,0.170325218290503,0.14307318336402253,0.0
2021-04-19/2021-04-25,9.218000813882025,8.012098268385262,0.0,0.15669920082726277,0.14307318336402253,0.0
2021-04-26/2021-05-02,10.301269202209623,10.539724507816327,0.0,0.2929593754596652,0.3338374278493859,0.0
2021-05-03/2021-05-09,10.900813970592193,9.776667529874874,0.0,0.21120327068022376,0.0953821222426817,0.0
2021-05-10/2021-05-16,8.9727324995437,9.299756918661465,0.0,0.10219513097430181,0.04769106112134085,0.0
2021-05-17/2021-05-23,8.298244635113306,7.296732351565149,0.0,0.12263415716916216,0.14307318336402253,0.0
2021-05-24/2021-05-30,6.492797321233974,6.104455823531628,0.0,0.8993171525738559,0.1907642444853634,0.0
2021-05-31/2021-06-06,4.435268684284699,3.3860653396152003,0.0,0.11582114843754206,0.04769106112134085,0.0
2021-06-07/2021-06-13,3.8970409944867086,3.624520645221904,0.0,0.11582114843754206,0.0953821222426817,0.0
2021-06-14/2021-06-20,4.455707710479559,5.007561417740789,0.0,0.12944716590078229,0.14307318336402253,0.0
2021-06-21/2021-06-27,4.033301169119111,3.624520645221904,0.0,0.12944716590078229,0.0953821222426817,0.0
2021-06-28/2021-07-04,2.895528710938551,2.766081545037769,0.0,0.06131707858458109,0.04769106112134085,0.0
2021-07-05/2021-07-11,3.658585688880005,3.8629759508286083,0.0,0.06813008731620121,0.04769106112134085,0.0
2021-07-12/2021-07-18,6.383789181528052,7.439805534929172,0.0,0.170325218290503,0.14307318336402253,0.0
2021-07-19/2021-07-25,8.843285333642916,11.636618913607165,0.0,0.12263415716916216,0.14307318336402253,0.0
2021-07-26/2021-08-01,13.142293843295212,15.642668047799797,0.0,0.08856911351106157,0.0953821222426817,0.0
2021-08-02/2021-08-08,23.007530486681144,26.039319372252102,0.0,0.1021951309743018,0.04769106112134085,0.0
2021-08-09/2021-08-15,32.53892970221769,34.00372657951602,0.0,0.14307318336402255,0.1907642444853634,0.0
2021-08-16/2021-08-22,35.61159664017837,41.4435321144452,0.0,0.17713822702212312,0.1907642444853634,0.1907642444853634
2021-08-23/2021-08-29,38.922718883745745,41.6819874200519,0.0,0.22482928814346398,0.23845530560670422,0.0
2021-08-30/2021-09-05,40.06730435065793,41.634296358930555,0.0,0.32021141038614565,0.3338374278493859,0.0
2021-09-06/2021-09-12,30.63128725736406,25.800864066645396,0.0,0.3610894627758664,0.3815284889707268,0.0
2021-09-13/2021-09-19,32.93408420865166,35.10062098530686,0.0,0.47691061121340844,0.6199837945774309,0.0
2021-09-20/2021-09-26,27.71531952023065,34.00372657951602,0.0,0.5041626461398889,0.6676748556987718,0.0
2021-09-27/2021-10-03,34.248994893854345,29.091547284017917,0.0,0.42921955009206764,0.5246016723347493,0.0
2021-10-04/2021-10-10,34.93710877574797,39.67896285295558,0.0,0.3883414977023469,0.47691061121340844,0.0
2021-10-11/2021-10-17,32.784198016556026,33.76527127390932,0.0,0.4155935326288273,0.5246016723347493,0.0
2021-10-18/2021-10-24,34.99161284560093,29.99767744532339,0.0,0.3883414977023469,0.47691061121340844,0.0
2021-10-25/2021-10-31,43.04458916637592,45.640345493123185,0.0,0.4224065413604475,0.47691061121340844,0.0
2021-11-01/2021-11-07,51.32239477529437,55.36932196187672,0.0,0.43603255882368774,0.5722927334560901,0.5722927334560901
2021-11-08/2021-11-14,63.60624951840545,54.12935437272186,0.0,0.3815284889707268,0.5246016723347493,0.0
2021-11-15/2021-11-21,67.16945308504276,72.6334860878021,0.0,0.6404228207722913,0.5722927334560901,0.0
2021-11-22/2021-11-28,41.92725573439022,0.0,0.0,0.32021141038614565,0.0,0.0
2021-11-29/2021-12-05,84.67888552530647,87.03618654644704,0.0,0.6608618469671518,0.5722927334560901,0.0
2021-12-06/2021-12-12,63.074834837339075,68.72281907585216,0.0,0.4428455675553078,0.5722927334560901,0.0
2021-12-13/2021-12-19,47.77281722612029,35.1483120464282,0.0,0.7153659168201126,0.3338374278493859,0.0
2021-12-20/2021-12-26,39.917418158562285,33.860653396152,0.0,1.1445854669121804,1.7645692614896111,0.0
2021-12-27/2022-01-02,50.37538656159917,38.05746677482999,0.0,0.7494309604782133,1.0492033446694986,0.0
2022-01-03/2022-01-09,129.9240765119957,119.84763659792955,0.0,0.8720651176473754,0.6676748556987718,0.0
2022-01-10/2022-01-16,203.20479842930172,248.1365910143364,0.0,1.1037074145224595,1.3353497113975437,0.0
2022-01-17/2022-01-23,265.6732754895266,273.17439810304035,0.0,0.7766829954046938,1.1445854669121802,0.0
2022-01-24/2022-01-30,221.96101146745193,196.24871651431758,0.0,1.076455379595979,1.2399675891548618,0.0
2022-01-31/2022-02-06,130.72801154232687,100.00815517145175,0.0,0.8039350303311742,0.906130161305476,0.0
2022-02-07/2022-02-13,73.6826894324716,66.81517663099852,0.0,0.8380000739892749,0.9538212224268169,0.0
